brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
OCO-0000-0000000202266,DIRECT API,"39,148","15,533,418,861","52,162","18,719,518,379","56,992","23,130,909,731","51,243","21,016,854,050","50,848","18,904,747,651","46,256","16,873,004,355","56,614","19,674,616,765","55,392","18,614,113,684","60,820","19,071,617,369","89,956","34,414,695,077","65,907","24,728,719,364","61,700","24,352,210,632"
BRN-0225-1714116942592,DIRECT API,"38,384","62,604,145,050","36,462","59,606,657,410","44,767","74,191,892,900","44,192","69,635,919,360","43,527","68,552,989,150","36,861","60,373,572,570","35,932","56,676,609,350","28,125","44,033,774,750","26,298","39,177,406,100","22,207","30,881,214,610","20,457","28,137,167,890","16,255","24,714,418,070"
BRN-0216-1667277920876,DIRECT API,"37,089","30,215,150,017","32,230","26,339,298,148","32,187","27,136,719,319","33,722","27,901,164,298","39,530","30,747,135,071","32,445","25,674,239,404","59,966","50,864,204,323","35,217","28,249,829,811","42,125","38,232,060,732","92,372","123,259,296,942","59,887","66,409,693,696","40,743","31,754,307,397"
BRN-0238-1714652872866,DIRECT API,"36,641","51,023,665,596","39,439","60,015,371,056","41,935","66,288,691,028","39,708","66,258,256,307","44,268","78,545,569,646","39,180","67,479,708,140","48,337","76,956,062,421","5,749","8,644,165,287","11,593","16,828,543,741","20,529","29,896,903,768","27,651","43,412,914,535","25,056","41,513,155,718"
BRN-0257-1701772619943,DIRECT API,"34,580","130,572,725","49,913","189,788,751","81,353","317,097,665","113,334","438,132,861","87,895","319,162,248","41,807","162,725,231","38,857","144,836,768","29,536","110,891,449","43,773","160,849,351","70,434","218,619,834","50,782","130,774,684","46,410","114,139,822"
BRN-0233-1722508174188,DIRECT API,"34,561","3,597,350,830","51,209","5,376,372,540","46,929","5,512,097,585","38,764","4,329,863,450","41,057","5,030,748,830","97,421","12,522,377,290","11,183","1,490,958,290","25,196","2,423,057,030","23,334","2,345,408,410","15,805","2,004,635,730",3,"133,980",1,"21,990"
BRN-0220-1721118288120,DIRECT API,"33,877","51,559,074,272","37,124","57,243,276,250","43,094","67,635,633,358","45,678","73,141,671,994","55,090","87,104,436,195","57,911","89,405,925,707","66,502","102,542,104,944","63,953","98,675,597,113","69,112","105,616,785,588","76,545","117,138,913,081","61,090","98,994,451,826","13,620","26,709,403,044"
BRN-0281-1665970184212,DIRECT API,"32,051","28,993,837,696","36,307","34,476,754,896","32,391","30,298,703,026","30,933","29,744,800,002","47,865","45,371,736,550","33,069","30,590,539,917","29,208","27,890,951,450","26,586","25,764,668,890","24,734","24,803,183,259","32,621","30,820,150,729","40,921","35,972,356,797","19,025","17,436,307,178"
OCO-0000-0000000247167,DIRECT API,"31,454","10,030,990,861","35,910","10,584,152,027","40,750","13,185,956,075","41,636","12,528,579,165","45,179","12,154,043,244","42,892","15,744,884,129","46,759","14,592,556,939","45,106","11,265,213,233","46,767","10,738,211,042","48,008","11,567,130,136","44,872","12,067,061,475","44,251","9,965,979,004"
DW-2664,DIRECT API,"30,092","4,522,470,109","41,232","8,796,707,476","31,327","5,080,857,600","37,011","6,114,779,696","32,940","5,671,449,347","33,086","4,780,480,413","45,196","7,319,700,214","33,680","5,895,593,400","35,472","5,387,505,702","39,296","5,591,549,744","25,215","3,933,071,157","23,374","2,768,483,336"
