brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0220-1699497850348,PLUGIN,25,"83,069,500",22,"60,049,000",19,"43,054,000",21,"79,361,500",25,"88,992,000",17,"51,242,500",23,"56,907,500",20,"85,613,600",18,"70,328,400",4,"7,004,000",4,"23,484,000",20,"65,817,000"
BRN-0292-1657606607882,PLUGIN,17,"6,001,711",14,"2,914,817",11,"3,233,575",11,"2,905,076",11,"2,647,547",5,"1,291,266",16,"4,993,307",4,"1,741,190",13,"3,787,787",19,"4,829,881",15,"3,882,763",24,"5,653,052"
BRN-0257-1683527808057,PLUGIN,16,"4,007,275",15,"1,462,125",2,"962,400",4,"2,210,600",6,"2,401,200",1,"697,200",21,"8,868,900",14,"4,373,300",2,"753,540",1,"303,940",0,0,1,"509,500"
BRN-0214-1719282507663,PLUGIN,16,"16,241,324",41,"66,874,721",76,"94,471,051",90,"92,640,589",120,"165,050,757",111,"155,739,963",0,0,0,0,0,0,0,0,0,0,0,0
BRN-0251-1717990224272,PLUGIN,15,"8,506,000",1,500,4,"2,501,500",1,"1,000",5,"2,200",0,0,0,0,0,0,0,0,0,0,0,0,27,"95,000,000"
BRN-0295-1692944130382,PLUGIN,14,"1,679,400",8,"1,011,900",14,"3,281,200",11,"3,499,600",19,"10,033,300",20,"2,331,100",99,"16,796,900",148,"22,027,300",244,"37,992,000",219,"40,732,780",302,"45,299,810",312,"54,833,220"
BRN-0278-1734419811276,PLUGIN,14,"9,129,000",19,"16,396,000",18,"11,892,400",20,"17,981,000",27,"19,709,500",27,"28,745,875",22,"24,501,500",25,"24,998,000",16,"14,700,500",6,"3,087,700",0,0,0,0
BRN-0299-1668581345455,PLUGIN,14,"198,211,900",10,"156,271,500",21,"406,805,057",17,"307,996,394",16,"280,254,550",12,"182,371,000",10,"113,207,600",7,"130,717,510",9,"142,376,600",12,"192,509,200",14,"229,151,132",16,"358,583,500"
BRN-0214-1729500113925,PLUGIN,13,"3,879,500",8,"1,631,550",14,"5,038,000",5,"2,786,000",6,"1,683,000",4,"2,221,000",15,"3,267,000",2,"1,405,000",5,"1,680,000",4,"1,432,000",0,0,0,0
BRN-0236-1659512790001,PLUGIN,13,"11,094,800",14,"8,126,500",7,"4,004,450",22,"19,669,500",12,"9,550,940",10,"6,164,800",10,"8,656,900",7,"7,530,750",14,"12,502,650",10,"11,180,900",7,"3,108,450",3,"1,794,500"
BRN-0258-1662025843262,PLUGIN,13,"14,048,000",6,"7,032,000",9,"19,859,000",7,"20,650,000",16,"21,667,500",12,"10,280,000",17,"22,489,965",12,"10,949,000",23,"42,635,000",33,"39,081,000",11,"24,579,000",15,"15,205,420"
BRN-0240-1748596418935,PLUGIN,12,"9,088,309",26,"17,175,550",9,"7,067,487",4,"1,638,600",1,"199,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN-0268-1716350650197,PLUGIN,12,"37,700,000",22,"78,100,000",20,"75,300,000",30,"88,700,000",33,"85,860,000",21,"67,490,000",13,"51,300,000",7,"25,400,000",10,"29,100,000",10,"26,100,000",9,"30,900,000",9,"27,700,000"
BRN-0263-1742526694235,PLUGIN,10,"27,866,710",18,"32,433,381",14,"30,029,800",15,"15,832,500",24,"20,119,875",9,"16,575,000",1,"2,225,000",0,0,0,0,0,0,0,0,0,0
BRN-0291-1658296086111,PLUGIN,10,"6,150,000",40,"26,135,000",32,"17,165,000",51,"33,820,000",47,"22,355,000",45,"26,320,000",26,"13,875,000",26,"12,200,000",15,"9,555,000",15,"10,875,000",33,"20,220,000",38,"25,010,000"
BRN-0202-1689044845294,PLUGIN,10,"117,321,670",23,"105,133,880",8,"36,315,660",11,"41,785,950",14,"39,919,730",6,"11,308,560",15,"90,678,560",19,"140,978,790",14,"74,825,300",27,"114,296,500",6,"7,724,570",11,"37,089,890"
BRN-0202-1727253130282,PLUGIN,10,"49,062,000",26,"182,575,920",50,"341,211,940",23,"126,438,180",22,"101,587,920",15,"79,112,120",4,"11,623,920",2,"7,548,000",14,"78,744,000",5,"18,151,920",8,"29,098,560",5,"28,050,000"
BRN-0209-1709355203108,PLUGIN,10,"18,224,818",22,"28,685,569",7,"16,304,489",8,"20,830,064",8,"18,287,428",1,"4,090,477",5,"16,943,455",0,0,2,"2,448,662",0,0,0,0,1,"971,731"
BRN-0293-1708349234714,PLUGIN,10,"151,760,000",5,"84,500,000",6,"72,600,000",3,"49,700,000",5,"75,600,000",0,0,9,"36,125,000",0,0,2,"1,990",0,0,0,0,0,0
OCO-0000-0000000171648,PLUGIN,9,"84,613,750",13,"107,420,000",18,"152,520,000",19,"166,101,250",26,"231,188,750",30,"261,477,500",65,"591,988,750",36,"324,515,000",35,"348,957,500",19,"177,991,250",16,"117,977,500",16,"136,837,500"
